Date,Onset,Wakeup,Duration
17/02/2023,06:30,12:46,06:16
17/02/2023,22:17,23:21,01:04
18/02/2023,09:17,15:50,06:33
18/02/2023,22:33,02:40,04:07
19/02/2023,17:50,21:00,03:10
20/02/2023,01:50,02:50,01:00
20/02/2023,08:05,13:50,05:45
20/02/2023,15:00,18:00,03:00
21/02/2023,07:45,13:10,05:25
21/02/2023,21:36,00:10,02:34
22/02/2023,10:10,13:45,03:35
22/02/2023,17:30,19:45,02:15
23/02/2023,03:27,05:08,01:41
23/02/2023,12:30,18:00,05:30
24/02/2023,08:15,18:00,09:45
25/02/2023,02:40,04:10,01:30
25/02/2023,11:25,19:00,07:35
26/02/2023,11:30,19:40,08:10
27/02/2023,12:50,19:40,06:50
27/02/2023,22:00,01:20,03:20
28/02/2023,14:10,21:35,07:25
01/03/2023,07:27,15:55,08:28
02/03/2023,11:45,21:30,09:45
03/03/2023,14:40,22:20,07:40
04/03/2023,12:00,20:40,08:40
05/03/2023,15:06,23:38,08:32
06/03/2023,06:25,09:00,02:35
06/03/2023,18:15,23:40,05:25
07/03/2023,02:30,07:07,04:37
07/03/2023,08:00,10:00,02:00
07/03/2023,18:55,01:25,06:30
08/03/2023,22:25,03:00,04:35
09/03/2023,07:10,12:20,05:10
09/03/2023,22:07,05:30,07:23
10/03/2023,10:24,12:55,02:31
10/03/2023,21:48,07:17,09:29
11/03/2023,11:38,14:20,02:42
11/03/2023,22:05,08:00,09:55
12/03/2023,14:32,16:31,01:59
12/03/2023,23:40,06:20,06:40
13/03/2023,11:11,13:49,02:38
14/03/2023,01:40,08:30,06:50
15/03/2023,00:40,08:55,08:15
15/03/2023,12:50,15:10,02:20
15/05/2023,23:50,04:00,04:10
15/05/2023,19:20,02:45,07:25
16/05/2023,09:20,11:10,01:50
16/05/2023,22:36,03:40,05:04
17/05/2023,06:40,08:50,02:10
17/05/2023,14:15,15:20,01:05
17/05/2023,22:30,06:00,07:30
18/05/2023,12:55,13:50,00:55
18/05/2023,23:15,05:00,05:45
19/05/2023,23:39,06:40,07:01
21/05/2023,01:20,07:00,05:40
21/05/2023,11:30,14:20,02:50
21/05/2023,20:00,02:20,06:20
22/05/2023,07:15,08:28,01:13
23/05/2023,01:05,07:12,06:07
23/05/2023,11:15,14:20,03:05
24/05/2023,01:00,08:10,07:10
25/05/2023,03:20,08:40,05:20
25/05/2023,12:20,16:10,03:50
